"Index", "Girth (in)", "Height (ft)", "Volume(ft^3)", "Type", "Chopped"
 1,   8.3,     70,   10.3,  Alder,  True
 2,   8.6,     65,   10.3,  Alder,  True
 3,   8.8,     63,   10.2,  Alder,  False
 4,  10.5,     72,   16.4,  Alder,  False
 5,  10.7,     81,   18.8,  Alder,  False
 6,  10.8,     83,   19.7,  Pine,  True
 7,  11.0,     66,   15.6,  Pine,  False
 8,  11.0,     75,   18.2,  Pine,  False
 9,  11.1,     80,   22.6,  Pine,  True
10,  11.2,     75,   19.9,  Pine,  False
11,  11.3,     79,   24.2,  Pine,  True
12,  11.4,     76,   21.0,  Pine,  True
13,  11.4,     76,   21.4,  Pine,  True
14,  11.7,     69,   21.3,  Maple,  True
15,  12.0,     75,   19.1,  Maple,  True
16,  12.9,     74,   22.2,  Maple,  False
17,  12.9,     85,   33.8,  Maple,  False
18,  13.3,     86,   27.4,  Maple,  False
19,  13.7,     71,   25.7,  Maple,  True
20,  13.8,     64,   24.9,  Sycamore,  True
21,  14.0,     78,   34.5,  Sycamore,  False
22,  14.2,     80,   31.7,  Sycamore,  True
23,  14.5,     74,   36.3,  Sycamore,  False
24,  16.0,     72,   38.3,  Sycamore,  True
25,  16.3,     77,   42.6,  Willow,  False
26,  17.3,     81,   55.4,  Willow,  True
27,  17.5,     82,   55.7,  Willow,  True
28,  17.9,     80,   58.3,  Oak,  True
29,  18.0,     80,   51.5,  Oak,  True
30,  18.0,     80,   51.0,  Oak,  False
31,  20.6,     87,   77.0,  Oak,  False
32,  30.6,     130,   113.0,  Redwood,  False
